timestamp_unix,mode,phase,ip,request_id,task_type,payload_bytes,status_code,response_ms,outcome,error
1775366728.906,mixed,legitimate,192.168.100.50,1,addition,48,200,369.8,allowed,
1775366728.910,mixed,attack,192.168.100.40,1,addition,49,200,401.4,allowed,
1775366728.938,mixed,attack,192.168.100.40,2,string_length,90,200,511.7,allowed,
1775366728.992,mixed,attack,192.168.100.40,4,factorial,36,200,795.6,allowed,
1775366728.965,mixed,attack,192.168.100.40,3,addition,49,200,837.3,allowed,
1775366729.019,mixed,attack,192.168.100.40,5,find_vowels,100,200,919.1,allowed,
1775366729.088,mixed,attack,192.168.100.40,7,string_length,54,200,931.0,allowed,
1775366729.175,mixed,attack,192.168.100.40,10,string_length,66,200,932.3,allowed,
1775366729.046,mixed,attack,192.168.100.40,6,factorial,36,200,1156.5,allowed,
1775366729.163,mixed,legitimate,192.168.100.50,3,find_vowels,60,200,1066.4,allowed,
1775366729.037,mixed,legitimate,192.168.100.50,2,factorial,36,200,1243.1,allowed,
1775366729.148,mixed,attack,192.168.100.40,9,factorial,36,200,1137.9,allowed,
1775366729.117,mixed,attack,192.168.100.40,8,find_vowels,100,200,1197.0,allowed,
1775366729.283,mixed,attack,192.168.100.40,14,addition,49,200,1168.2,allowed,
1775366729.255,mixed,attack,192.168.100.40,13,string_length,54,200,1260.7,allowed,
1775366729.341,mixed,attack,192.168.100.40,16,string_length,66,200,1190.0,allowed,
1775366729.315,mixed,attack,192.168.100.40,15,find_vowels,80,200,1230.1,allowed,
1775366729.203,mixed,attack,192.168.100.40,11,multiplication,54,200,1357.0,allowed,
1775366729.295,mixed,legitimate,192.168.100.50,4,multiplication,54,200,1297.1,allowed,
1775366729.370,mixed,attack,192.168.100.40,17,find_vowels,100,200,1263.1,allowed,
1775366729.228,mixed,attack,192.168.100.40,12,string_length,66,200,1433.9,allowed,
1775366729.454,mixed,attack,192.168.100.40,20,addition,49,200,1260.4,allowed,
1775366729.397,mixed,attack,192.168.100.40,18,factorial,36,200,1363.9,allowed,
1775366729.436,mixed,legitimate,192.168.100.50,5,addition,49,200,1375.9,allowed,
1775366729.869,mixed,attack,192.168.100.40,30,addition,49,200,1109.7,allowed,
1775366729.629,mixed,attack,192.168.100.40,23,factorial,36,200,1352.1,allowed,
1775366729.815,mixed,attack,192.168.100.40,28,string_length,90,200,1194.8,allowed,
1775366729.714,mixed,attack,192.168.100.40,25,string_length,90,200,1368.8,allowed,
1775366729.424,mixed,attack,192.168.100.40,19,string_length,78,200,1659.2,allowed,
1775366729.670,mixed,attack,192.168.100.40,24,factorial,36,200,1447.3,allowed,
1775366729.789,mixed,attack,192.168.100.40,27,find_vowels,80,200,1351.3,allowed,
1775366729.565,mixed,attack,192.168.100.40,22,addition,49,200,1595.1,allowed,
1775366729.897,mixed,attack,192.168.100.40,31,string_length,54,200,1309.2,allowed,
1775366729.716,mixed,legitimate,192.168.100.50,7,string_length,78,200,1491.4,allowed,
1775366729.954,mixed,attack,192.168.100.40,33,factorial,36,200,1321.3,allowed,
1775366729.845,mixed,legitimate,192.168.100.50,8,factorial,36,200,1604.5,allowed,
1775366729.973,mixed,legitimate,192.168.100.50,9,multiplication,55,200,1487.3,allowed,
1775366730.198,mixed,attack,192.168.100.40,42,find_vowels,100,200,1283.0,allowed,
1775366729.842,mixed,attack,192.168.100.40,29,string_length,54,200,1640.2,allowed,
1775366730.089,mixed,attack,192.168.100.40,38,string_length,90,200,1486.3,allowed,
1775366730.008,mixed,attack,192.168.100.40,35,addition,49,200,1580.3,allowed,
1775366730.521,mixed,attack,192.168.100.40,54,string_length,78,503,1140.3,overloaded,
1775366730.437,mixed,attack,192.168.100.40,51,string_length,66,503,1239.3,overloaded,
1775366730.235,mixed,legitimate,192.168.100.50,11,addition,49,200,1509.9,allowed,
1775366730.384,mixed,attack,192.168.100.40,49,addition,49,200,1429.1,allowed,
1775366729.757,mixed,attack,192.168.100.40,26,factorial,36,200,2057.4,allowed,
1775366730.330,mixed,attack,192.168.100.40,47,factorial,36,200,1510.7,allowed,
1775366730.107,mixed,legitimate,192.168.100.50,10,addition,49,200,1756.0,allowed,
1775366730.145,mixed,attack,192.168.100.40,40,multiplication,55,200,1743.2,allowed,
1775366730.277,mixed,attack,192.168.100.40,45,string_length,54,200,1677.0,allowed,
1775366730.304,mixed,attack,192.168.100.40,46,addition,49,200,1815.7,allowed,
1775366730.357,mixed,attack,192.168.100.40,48,addition,49,200,1785.6,allowed,
1775366730.842,mixed,attack,192.168.100.40,66,addition,48,503,1329.5,overloaded,
1775366730.171,mixed,attack,192.168.100.40,41,multiplication,55,200,2012.9,allowed,
1775366730.947,mixed,attack,192.168.100.40,70,multiplication,54,503,1298.3,overloaded,
1775366730.789,mixed,attack,192.168.100.40,64,find_vowels,60,503,1483.2,overloaded,
1775366730.868,mixed,attack,192.168.100.40,67,addition,49,503,1404.5,overloaded,
1775366730.362,mixed,legitimate,192.168.100.50,12,factorial,36,200,1947.0,allowed,
1775366730.974,mixed,attack,192.168.100.40,71,find_vowels,100,503,1365.6,overloaded,
1775366730.894,mixed,attack,192.168.100.40,68,string_length,78,503,1474.1,overloaded,
1775366730.921,mixed,attack,192.168.100.40,69,factorial,36,503,1499.2,overloaded,
1775366731.000,mixed,legitimate,192.168.100.50,17,factorial,36,503,1459.1,overloaded,
1775366731.000,mixed,attack,192.168.100.40,72,addition,49,503,1503.3,overloaded,
1775366731.110,mixed,attack,192.168.100.40,76,factorial,36,503,1467.3,overloaded,
1775366731.081,mixed,attack,192.168.100.40,75,find_vowels,60,503,1522.2,overloaded,
1775366730.709,mixed,attack,192.168.100.40,61,find_vowels,80,200,1911.5,allowed,
1775366730.655,mixed,attack,192.168.100.40,59,factorial,36,200,1989.6,allowed,
