timestamp_unix,mode,phase,ip,request_id,task_type,payload_bytes,status_code,response_ms,outcome,error
1775366645.464,flood,attack,192.168.100.10,1,find_vowels,60,200,175.0,allowed,
1775366645.491,flood,attack,192.168.100.10,2,find_vowels,60,200,174.6,allowed,
1775366645.515,flood,attack,192.168.100.10,3,string_length,90,200,174.1,allowed,
1775366645.579,flood,attack,192.168.100.10,6,addition,49,200,189.7,allowed,
1775366645.557,flood,attack,192.168.100.10,5,find_vowels,100,200,225.0,allowed,
1775366645.600,flood,attack,192.168.100.10,7,find_vowels,100,200,235.6,allowed,
1775366645.642,flood,attack,192.168.100.10,9,addition,49,200,199.5,allowed,
1775366645.858,flood,attack,192.168.100.10,19,find_vowels,100,503,30.7,overloaded,
1775366645.664,flood,attack,192.168.100.10,10,multiplication,54,200,263.5,allowed,
1775366645.945,flood,attack,192.168.100.10,23,addition,49,503,26.1,overloaded,
1775366645.836,flood,attack,192.168.100.10,18,addition,49,200,204.6,allowed,
1775366646.008,flood,attack,192.168.100.10,26,multiplication,54,503,37.3,overloaded,
1775366645.706,flood,attack,192.168.100.10,12,multiplication,55,200,384.0,allowed,
1775366645.749,flood,attack,192.168.100.10,14,multiplication,55,200,371.8,allowed,
1775366646.095,flood,attack,192.168.100.10,30,string_length,66,503,36.2,overloaded,
1775366645.880,flood,attack,192.168.100.10,20,string_length,66,200,312.1,allowed,
1775366645.813,flood,attack,192.168.100.10,17,multiplication,55,200,395.5,allowed,
1775366645.727,flood,attack,192.168.100.10,13,factorial,36,200,482.3,allowed,
1775366646.182,flood,attack,192.168.100.10,34,factorial,36,503,45.6,overloaded,
1775366645.901,flood,attack,192.168.100.10,21,multiplication,54,200,383.6,allowed,
1775366645.792,flood,attack,192.168.100.10,16,factorial,36,200,497.4,allowed,
1775366645.922,flood,attack,192.168.100.10,22,multiplication,54,200,373.7,allowed,
1775366646.267,flood,attack,192.168.100.10,38,addition,49,503,36.2,overloaded,
1775366646.353,flood,attack,192.168.100.10,42,multiplication,55,503,47.3,overloaded,
1775366645.966,flood,attack,192.168.100.10,24,find_vowels,60,200,495.1,allowed,
1775366646.504,flood,attack,192.168.100.10,49,addition,49,503,46.4,overloaded,
1775366646.051,flood,attack,192.168.100.10,28,addition,49,200,544.6,allowed,
1775366646.589,flood,attack,192.168.100.10,53,multiplication,54,503,31.3,overloaded,
1775366646.160,flood,attack,192.168.100.10,33,find_vowels,60,200,480.5,allowed,
1775366645.987,flood,attack,192.168.100.10,25,factorial,36,200,720.0,allowed,
1775366646.675,flood,attack,192.168.100.10,57,addition,49,503,67.8,overloaded,
1775366646.697,flood,attack,192.168.100.10,58,multiplication,55,503,50.7,overloaded,
1775366646.073,flood,attack,192.168.100.10,29,factorial,36,200,721.9,allowed,
1775366646.761,flood,attack,192.168.100.10,61,factorial,36,503,38.4,overloaded,
1775366646.782,flood,attack,192.168.100.10,62,string_length,90,503,29.5,overloaded,
1775366646.116,flood,attack,192.168.100.10,31,find_vowels,60,200,709.3,allowed,
1775366646.804,flood,attack,192.168.100.10,63,find_vowels,60,503,28.6,overloaded,
1775366646.031,flood,attack,192.168.100.10,27,multiplication,54,200,809.7,allowed,
1775366646.224,flood,attack,192.168.100.10,36,string_length,90,200,635.9,allowed,
1775366646.845,flood,attack,192.168.100.10,65,find_vowels,60,503,36.3,overloaded,
1775366646.909,flood,attack,192.168.100.10,68,factorial,36,503,29.0,overloaded,
1775366646.931,flood,attack,192.168.100.10,69,string_length,78,503,27.1,overloaded,
1775366646.203,flood,attack,192.168.100.10,35,multiplication,55,200,803.6,allowed,
1775366646.973,flood,attack,192.168.100.10,71,factorial,36,503,37.9,overloaded,
1775366646.288,flood,attack,192.168.100.10,39,factorial,36,200,728.8,allowed,
1775366646.332,flood,attack,192.168.100.10,41,find_vowels,80,200,691.7,allowed,
1775366647.017,flood,attack,192.168.100.10,73,factorial,36,503,33.2,overloaded,
1775366647.060,flood,attack,192.168.100.10,75,string_length,78,503,26.5,overloaded,
1775366647.082,flood,attack,192.168.100.10,76,multiplication,54,503,46.3,overloaded,
1775366647.103,flood,attack,192.168.100.10,77,factorial,36,503,44.3,overloaded,
1775366646.374,flood,attack,192.168.100.10,43,multiplication,55,200,808.7,allowed,
1775366647.145,flood,attack,192.168.100.10,79,factorial,36,503,59.2,overloaded,
1775366647.167,flood,attack,192.168.100.10,80,factorial,36,503,42.8,overloaded,
1775366647.189,flood,attack,192.168.100.10,81,addition,48,503,49.3,overloaded,
1775366647.232,flood,attack,192.168.100.10,83,find_vowels,80,503,34.3,overloaded,
1775366646.246,flood,attack,192.168.100.10,37,factorial,36,200,1046.5,allowed,
1775366647.274,flood,attack,192.168.100.10,85,multiplication,55,503,28.9,overloaded,
1775366647.295,flood,attack,192.168.100.10,86,find_vowels,80,503,32.7,overloaded,
1775366646.310,flood,attack,192.168.100.10,40,factorial,36,200,1044.5,allowed,
1775366647.338,flood,attack,192.168.100.10,88,addition,49,503,36.5,overloaded,
1775366647.359,flood,attack,192.168.100.10,89,factorial,36,503,38.0,overloaded,
1775366647.380,flood,attack,192.168.100.10,90,find_vowels,100,503,35.5,overloaded,
1775366647.402,flood,attack,192.168.100.10,91,factorial,36,503,26.4,overloaded,
1775366647.423,flood,attack,192.168.100.10,92,addition,48,503,28.6,overloaded,
1775366647.444,flood,attack,192.168.100.10,93,string_length,78,503,30.9,overloaded,
1775366647.466,flood,attack,192.168.100.10,94,find_vowels,100,503,43.3,overloaded,
1775366647.487,flood,attack,192.168.100.10,95,addition,49,503,53.6,overloaded,
1775366647.511,flood,attack,192.168.100.10,96,factorial,36,503,37.4,overloaded,
1775366647.532,flood,attack,192.168.100.10,97,addition,48,503,36.0,overloaded,
1775366647.554,flood,attack,192.168.100.10,98,multiplication,55,503,26.2,overloaded,
1775366647.597,flood,attack,192.168.100.10,100,factorial,36,503,34.7,overloaded,
1775366647.575,flood,attack,192.168.100.10,99,find_vowels,60,503,58.6,overloaded,
1775366647.618,flood,attack,192.168.100.10,101,addition,49,503,37.0,overloaded,
